Date,hash-rate
2019-03-19 00:00:00,52493404.8708152
2019-03-20 00:00:00,48571483.8172485
2019-03-21 00:00:00,43141131.589233205
2019-03-22 00:00:00,48571483.8172485
2019-03-23 00:00:00,43744504.05901261
2019-03-24 00:00:00,47490106.9905989
2019-03-25 00:00:00,46933020.833036
2019-03-26 00:00:00,42493410.7542353
2019-03-27 00:00:00,47250135.8386646
2019-03-28 00:00:00,46298790.8217788
2019-03-29 00:00:00,46615905.8274074
2019-03-30 00:00:00,44078985.7823784
2019-03-31 00:00:00,44078985.7823784
2019-04-01 00:00:00,43127640.7654926
2019-04-02 00:00:00,49787055.883693606
2019-04-03 00:00:00,45030330.7992643
2019-04-04 00:00:00,44396100.788007
2019-04-05 00:00:00,50104170.88932221
2019-04-06 00:00:00,44081037.5636847
2019-04-07 00:00:00,44809649.5150327
2019-04-08 00:00:00,47034242.0441478
2019-04-09 00:00:00,41949459.120456204
2019-04-10 00:00:00,47034242.0441478
2019-04-11 00:00:00,49894432.4387244
2019-04-12 00:00:00,47987638.84234
2019-04-13 00:00:00,42902855.9186484
2019-04-14 00:00:00,38771469.793148905
2019-04-15 00:00:00,46080845.2459556
2019-04-16 00:00:00,46080845.2459556
2019-04-17 00:00:00,43856252.716840506
2019-04-18 00:00:00,47352040.976878494
2019-04-19 00:00:00,48305437.775070705
2019-04-20 00:00:00,41631660.187725395
2019-04-21 00:00:00,51199133.023807205
2019-04-22 00:00:00,42318655.541662395
2019-04-23 00:00:00,36634060.0211406
2019-04-24 00:00:00,51477170.5469476
2019-04-25 00:00:00,45160953.3019234
2019-04-26 00:00:00,47687440.1999331
2019-04-27 00:00:00,43266088.1284161
2019-04-28 00:00:00,51477170.5469476
2019-04-29 00:00:00,51477170.5469476
2019-04-30 00:00:00,44213520.715169705
2019-05-01 00:00:00,54003657.4449573
2019-05-02 00:00:00,58109198.6542231
2019-05-03 00:00:00,48003251.0621843
2019-05-04 00:00:00,43006075.3622154
2019-05-05 00:00:00,42978500.695039794
2019-05-06 00:00:00,50308167.4802404
2019-05-07 00:00:00,42312167.3509307
2019-05-08 00:00:00,50641334.152295
2019-05-09 00:00:00,49975000.8081859
2019-05-10 00:00:00,41645834.0068216
2019-05-11 00:00:00,43311667.3670944
2019-05-12 00:00:00,52640334.1846224
2019-05-13 00:00:00,55638834.2331136
2019-05-14 00:00:00,50641334.152295
2019-05-15 00:00:00,49641834.1361313
2019-05-16 00:00:00,48642334.1199676
2019-05-17 00:00:00,50308167.4802404
2019-05-18 00:00:00,50986743.450853005
2019-05-19 00:00:00,54326123.02609579
2019-05-20 00:00:00,53659544.829456605
2019-05-21 00:00:00,50993232.042899795
2019-05-22 00:00:00,55659279.419374205
2019-05-23 00:00:00,52659677.5344978
2019-05-24 00:00:00,50993232.042899795
2019-05-25 00:00:00,46660473.7647449
2019-05-26 00:00:00,54992701.222734995
2019-05-27 00:00:00,55659279.419374205
2019-05-28 00:00:00,54659412.1244154
2019-05-29 00:00:00,57992303.1076115
2019-05-30 00:00:00,53664058.5059824
2019-05-31 00:00:00,43386260.57638379
2019-06-01 00:00:00,55994233.735332996
2019-06-02 00:00:00,48577778.9359511
2019-06-03 00:00:00,44127906.05632199
2019-06-04 00:00:00,57106701.955240294
2019-06-05 00:00:00,59331638.395054795
2019-06-06 00:00:00,58219170.175147496
2019-06-07 00:00:00,58589992.9151166
2019-06-08 00:00:00,45982019.7561675
2019-06-09 00:00:00,54510942.77545661
2019-06-10 00:00:00,58219170.175147496
2019-06-11 00:00:00,53027651.8155803
2019-06-12 00:00:00,48577778.9359511
2019-06-13 00:00:00,55994233.735332996
2019-06-14 00:00:00,62264123.1632496
2019-06-15 00:00:00,53775192.2320125
2019-06-16 00:00:00,47882020.4805591
2019-06-17 00:00:00,48986990.1839566
2019-06-18 00:00:00,60036687.2179318
2019-06-19 00:00:00,65193212.5004535
2019-06-20 00:00:00,53038545.763080895
2019-06-21 00:00:00,48986990.1839566
2019-06-22 00:00:00,51933576.05968329
